time,current,voltage,temperature
0.0,-0.006175418265897041,4.195755769877104,24.03013803682012
9.344000000000001,-0.000888727011324144,4.195183788020543,24.032098834338544
19.483999999999995,-2.014835223952048,3.977308381045232,24.04061795372529
28.811999999999998,-2.0144772473483967,3.955419117756451,24.118832530915018
38.156,-2.013630674162732,3.937824058944833,24.2194186797114
47.516,-2.010256000573107,3.9229714994408487,24.324715198250768
56.859,-2.0128810970790765,3.9101545361634766,24.433932730890728
66.172,-2.0146181505775016,3.8988118537050136,24.55079406382183
75.547,-2.0105350033163645,3.8882361093059274,24.675515098358748
84.906,-2.0153114073552167,3.8790177519723352,24.7901305022605
94.26599999999999,-2.011595496127388,3.870206719196058,24.906855977729727
103.656,-2.012126841288393,3.8627325650136366,25.026519874530088
113.01599999999999,-2.0121014898587495,3.85500501373265,25.145871870725454
122.375,-2.0118651293950727,3.8486013881013537,25.275238779052362
131.719,-2.0127603972610366,3.842226365810605,25.38413980484473
141.047,-2.008308659314257,3.8363897569400938,25.501924205231454
150.406,-2.011304580644666,3.831014325749399,25.633230984648723
159.781,-2.014621331423595,3.8259323991578316,25.753014720567432
169.125,-2.0110985360723053,3.8207487298929723,25.85678085689372
178.484,-2.012378395283925,3.8160327766682625,25.986819386835265
187.891,-2.013949814553788,3.81162506487533,26.106084498149666
197.266,-2.009731043479823,3.807421825805587,26.22473483092879
206.594,-2.0150207378981566,3.8033542501661133,26.338852963150533
215.969,-2.013118828109899,3.7996393318293036,26.44610204553993
225.312,-2.012747415718198,3.7955442353984754,26.561933234224455
234.734,-2.012391548727753,3.7917269176294437,26.682431057556432
244.109,-2.0103795406948315,3.7879648256882734,26.797469414913206
253.5,-2.0137153418212015,3.7842684429026003,26.920031427943364
262.812,-2.011642612100014,3.780822340280974,27.024630889488932
272.172,-2.0131117070640197,3.7769616278233693,27.14282127335746
281.547,-2.012466977000012,3.7733610572887946,27.249628506835148
290.922,-2.0123526241245933,3.7695485477610617,27.36099667120001
300.297,-2.01426458960471,3.7659412660774025,27.47566059926655
309.672,-2.013763068771413,3.7620196129757466,27.578737962507425
319.031,-2.013637078647656,3.7585132209236316,27.680380002215085
328.422,-2.0083636970563616,3.75439336642481,27.790756300306594
337.781,-2.0125228800881416,3.7508349284822047,27.89261386561977
347.156,-2.0118131984291963,3.746920012601818,27.998076848054147
356.484,-2.0113835851249267,3.743059162442957,28.09859759901441
365.891,-2.0137483056449876,3.739284887912337,28.210148805504446
375.219,-2.0119535708475387,3.7353834083790267,28.31122079139954
384.578,-2.0143344258454428,3.731704087323051,28.405060381248393
394.0,-2.0132489374194504,3.7276780001140106,28.510402488758817
403.406,-2.011195674682436,3.7239129259848665,28.604936235929415
412.766,-2.0119975068856957,3.7198739694592047,28.696418287519638
422.094,-2.0121152839927956,3.7160468732194167,28.78803637595132
431.453,-2.0113727792758103,3.7121132477964647,28.8721477222101
440.828,-2.014180268409226,3.7081160898760515,28.947856023374918
450.234,-2.010934401878375,3.704422460631203,29.0288291283532
459.609,-2.013291281644338,3.7003833535075774,29.101042784807902
468.906,-2.0147615065962916,3.6968534444156225,29.173978230766274
478.297,-2.0128377611216717,3.693081685184048,29.24298011830613
487.625,-2.011144001566027,3.6892486277731327,29.304138747951193
497.047,-2.011384218413566,3.685542424760237,29.351385280277018
506.375,-2.0132672857089724,3.6819708094315913,29.404657003104838
515.781,-2.013193278554116,3.678337010094742,29.45038651604626
525.125,-2.012006053664737,3.6749886051063596,29.496473498605106
